source,destination,total
JAfpBqnUtdrdZJwZDMb1a2YyqmKawLSjiH5x6JGBvy36,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,696766.930473492
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,9XSd2XUjocG4gdhB9jXASGNdBNq2imfgWou9YEAhJF6C,680196.2464609339
9XSd2XUjocG4gdhB9jXASGNdBNq2imfgWou9YEAhJF6C,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,680196.246441934
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,3ndsv84aGQ9NDYX63wCb9jJMUqjn9vYrxDS18jWbXBxL,679808.72542293
3ndsv84aGQ9NDYX63wCb9jJMUqjn9vYrxDS18jWbXBxL,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,679808.72540393
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,FATv3MySzW9WMJCbKfo7XPPWsxKopQk2fo5R2ywj2W34,679698.6019421559
FATv3MySzW9WMJCbKfo7XPPWsxKopQk2fo5R2ywj2W34,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,679698.601923156
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,3YJjcTf4ALBADBEfhyR6vizCjAg2Ct7pyCkvG2n4a9VD,674458.105701868
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,DEdwSMbgA1jHPkB4mBFL1CLF76ABSuUGafyyFuZkd7vL,674458.105701868
3YJjcTf4ALBADBEfhyR6vizCjAg2Ct7pyCkvG2n4a9VD,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,674458.105682868
DEdwSMbgA1jHPkB4mBFL1CLF76ABSuUGafyyFuZkd7vL,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,674458.105682868
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,2jg4PhuxdwC68Ja1GniGGfnFEYHqVuREc6BK6tifYiND,672901.3516975681
2jg4PhuxdwC68Ja1GniGGfnFEYHqVuREc6BK6tifYiND,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,672901.351678568
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,HqDjVg5XdMJoiTftLMtHg11J96cYsZKediLefv3TcjqM,663377.216039376
HqDjVg5XdMJoiTftLMtHg11J96cYsZKediLefv3TcjqM,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,663377.216020376
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,AwTi4fvAYDrdxxQ8EyFbz3AMoHUgbudJ3TYmkvywsbFT,658084.56164258
3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,EfHpYqT7avDFF4sfEbQcC2W69VKGGaeaPQbv2WDfY21y,658084.56164258
AwTi4fvAYDrdxxQ8EyFbz3AMoHUgbudJ3TYmkvywsbFT,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,658084.56162358
EfHpYqT7avDFF4sfEbQcC2W69VKGGaeaPQbv2WDfY21y,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,658084.56162358
